,diputado,partido,id_diputado,distrito,voto
101,Sr. Luis Pardo,Partido: RN,1060,Distrito: N°6,2
102,Sra. Andrea Parra,Partido: PPD,1061,Distrito: N°22,1
103,Sr. Diego Paulsen,Partido: RN,995,Distrito: N°22,2
104,Sr. José Pérez,Partido: PR,885,Distrito: N°21,1
105,Sr. Leopoldo Pérez,Partido: RN,946,Distrito: N°12,0
106,Sra. Joanna Pérez,Partido: DC,1062,Distrito: N°21,1
107,Sra. Catalina Pérez,Partido: RD,1063,Distrito: N°3,1
108,Sr. Pablo Prieto,Partido: IND,1064,Distrito: N°17,0
109,Sr. Guillermo Ramírez,Partido: UDI,1065,Distrito: N°11,2
110,Sr. Jorge Rathgeb,Partido: RN,999,Distrito: N°22,0
111,Sr. Rolando Rentería,Partido: UDI,1066,Distrito: N°18,0
112,Sr. Hugo Rey,Partido: RN,1067,Distrito: N°17,1
113,Sr. Luis Rocafull,Partido: PS,1000,Distrito: N°1,1
114,Sra. Camila Rojas,Partido: COMUNES,1068,Distrito: N°7,1
115,Sr. Leonidas Romero,Partido: RN,1069,Distrito: N°20,1
116,Sr. Patricio Rosas,Partido: IND,1070,Distrito: N°24,1
117,Sr. Gastón Saavedra,Partido: PS,1071,Distrito: N°20,1
118,Sr. Jorge Sabag,Partido: DC,893,Distrito: N°19,1
119,Sra. Marcela Sabat,Partido: RN,949,Distrito: N°10,0
120,Sr. René Saffirio,Partido: IND,950,Distrito: N°23,1
121,Sr. Raúl Saldívar,Partido: PS,1001,Distrito: N°5,1
122,Sr. Gustavo Sanhueza,Partido: UDI,1072,Distrito: N°19,2
123,Sr. Juan Santana,Partido: PS,1073,Distrito: N°4,1
124,Sr. Alejandro Santana,Partido: RN,952,Distrito: N°26,0
125,Sra. Marisela Santibáñez,Partido: PC,1074,Distrito: N°14,1
126,Sr. Frank Sauerbaum,Partido: RN,953,Distrito: N°19,0
127,Sr. Diego Schalper,Partido: RN,1075,Distrito: N°15,2
128,Sr. Marcelo Schilling,Partido: PS,920,Distrito: N°6,1
129,Sra. Alejandra Sepúlveda,Partido: FRVS,897,Distrito: N°16,1
130,Sr. Alexis Sepúlveda,Partido: PR,1076,Distrito: N°17,1
131,Sr. Gabriel Silber,Partido: DC,898,Distrito: N°8,1
132,Sr. Leonardo Soto,Partido: PS,1002,Distrito: N°14,1
133,Sr. Raúl Soto,Partido: IND,1077,Distrito: N°15,1
134,Sr. Guillermo Teillier,Partido: PC,956,Distrito: N°13,1
135,Sr. Jaime Tohá,Partido: PS,1078,Distrito: N°20,1
136,Sr. Sebastián Torrealba,Partido: RN,1079,Distrito: N°10,3
137,Sr. Víctor Torres,Partido: DC,957,Distrito: N°7,1
138,Sr. Renzo Trisotti,Partido: UDI,1003,Distrito: N°2,2
139,Sra. Virginia Troncoso,Partido: UDI,1080,Distrito: N°16,1
140,Sr. Francisco Undurraga,Partido: EVOP,1081,Distrito: N°11,2
141,Sr. Ignacio Urrutia,Partido: PREP,908,Distrito: N°18,2
142,Sr. Osvaldo Urrutia,Partido: UDI,1005,Distrito: N°7,2
143,Sr. Cristóbal Urruticoechea,Partido: RN,1082,Distrito: N°21,2
144,Sra. Camila Vallejo,Partido: PC,1006,Distrito: N°12,1
145,Sr. Enrique Van Rysselberghe,Partido: UDI,959,Distrito: N°20,2
146,Sr. Esteban Velásquez,Partido: FRVS,1083,Distrito: N°3,1
147,Sr. Pedro Velásquez,Partido: IND,961,Distrito: N°5,1
148,Sr. Mario Venegas,Partido: DC,913,Distrito: N°22,1
149,Sr. Daniel Verdessi,Partido: DC,1084,Distrito: N°6,1
150,Sr. Pablo Vidal,Partido: RD,1085,Distrito: N°8,1
151,Sr. Gastón Von Mühlenbrock,Partido: UDI,917,Distrito: N°24,2
152,Sr. Matías Walker,Partido: DC,963,Distrito: N°5,1
153,Sr. Gonzalo Winter,Partido: PCS,1086,Distrito: N°10,1
154,Sra. Gael Yeomans,Partido: PCS,1087,Distrito: N°13,1
